"rules","support","confidence","coverage","lift","count"
"1","{root vegetables,rice} => {whole milk}",0.00244026436197255,0.774193548387097,0.00315200813421454,3.02992182586036,24
"2","{tropical fruit,herbs} => {whole milk}",0.00233858668022369,0.821428571428571,0.00284697508896797,3.21478312773577,23
"3","{herbs,rolls/buns} => {whole milk}",0.00244026436197255,0.8,0.00305033045246568,3.13091922005571,24
"4","{butter milk,whipped/sour cream} => {whole milk}",0.00294865277071683,0.763157894736842,0.00386375190645653,2.98673215071104,29
"5","{onions,butter} => {whole milk}",0.00305033045246568,0.75,0.00406710726995425,2.93523676880223,30
"6","{hamburger meat,curd} => {whole milk}",0.0025419420437214,0.806451612903226,0.00315200813421454,3.15616856860455,25
"7","{tropical fruit,grapes,whole milk} => {other vegetables}",0.00203355363497712,0.8,0.0025419420437214,4.13452443510247,20
"8","{root vegetables,whole milk,sliced cheese} => {other vegetables}",0.00244026436197255,0.774193548387097,0.00315200813421454,4.00115267913142,24
"9","{onions,whole milk,whipped/sour cream} => {other vegetables}",0.00213523131672598,0.777777777777778,0.00274529740721912,4.0196765341274,21
"10","{other vegetables,yogurt,hygiene articles} => {whole milk}",0.00213523131672598,0.75,0.00284697508896797,2.93523676880223,21
"11","{citrus fruit,root vegetables,frozen vegetables} => {other vegetables}",0.00203355363497712,0.769230769230769,0.00264361972547026,3.97550426452161,20
"12","{tropical fruit,root vegetables,frozen vegetables} => {whole milk}",0.00233858668022369,0.766666666666667,0.00305033045246568,3.00046425255339,23
"13","{beef,other vegetables,domestic eggs} => {whole milk}",0.0025419420437214,0.757575757575758,0.00335536349771225,2.96488562505276,25
"14","{beef,tropical fruit,rolls/buns} => {whole milk}",0.00213523131672598,0.777777777777778,0.00274529740721912,3.04394924172083,21
"15","{butter,curd,yogurt} => {whole milk}",0.00233858668022369,0.793103448275862,0.00294865277071683,3.1039285371242,23
"16","{other vegetables,curd,domestic eggs} => {whole milk}",0.00284697508896797,0.823529411764706,0.00345704117946111,3.22300507946911,28
"17","{tropical fruit,curd,yogurt} => {whole milk}",0.00396542958820539,0.75,0.00528723945094052,2.93523676880223,39
"18","{pork,other vegetables,butter} => {whole milk}",0.00223690899847483,0.846153846153846,0.00264361972547026,3.31154917505892,22
"19","{other vegetables,domestic eggs,bottled beer} => {whole milk}",0.00203355363497712,0.769230769230769,0.00264361972547026,3.01049925005357,20
"20","{root vegetables,other vegetables,brown bread} => {whole milk}",0.00315200813421454,0.775,0.00406710726995425,3.03307799442897,31
"21","{root vegetables,butter,domestic eggs} => {whole milk}",0.00244026436197255,0.75,0.0032536858159634,2.93523676880223,24
"22","{butter,yogurt,domestic eggs} => {whole milk}",0.00223690899847483,0.758620689655172,0.00294865277071683,2.96897512246662,22
"23","{tropical fruit,butter,whipped/sour cream} => {other vegetables}",0.00233858668022369,0.766666666666667,0.00305033045246568,3.96225258363987,23
"24","{root vegetables,butter,whipped/sour cream} => {whole milk}",0.00264361972547026,0.764705882352941,0.00345704117946111,2.99279043093561,26
"25","{root vegetables,butter,yogurt} => {whole milk}",0.00305033045246568,0.789473684210526,0.00386375190645653,3.08972291452866,30
"26","{tropical fruit,root vegetables,domestic eggs} => {whole milk}",0.00274529740721912,0.771428571428571,0.00355871886120996,3.01910067648229,27
"27","{tropical fruit,root vegetables,fruit/vegetable juice} => {other vegetables}",0.0025419420437214,0.78125,0.0032536858159634,4.03762151865476,25
"28","{pip fruit,root vegetables,whipped/sour cream} => {whole milk}",0.00233858668022369,0.766666666666667,0.00305033045246568,3.00046425255339,23
"29","{citrus fruit,tropical fruit,root vegetables} => {other vegetables}",0.00447381799694967,0.785714285714286,0.00569395017793594,4.0606936416185,44
"30","{sausage,tropical fruit,root vegetables} => {whole milk}",0.00274529740721912,0.771428571428571,0.00355871886120996,3.01910067648229,27
"31","{tropical fruit,other vegetables,butter,yogurt} => {whole milk}",0.00233858668022369,0.766666666666667,0.00305033045246568,3.00046425255339,23
"32","{root vegetables,other vegetables,yogurt,fruit/vegetable juice} => {whole milk}",0.00203355363497712,0.833333333333333,0.00244026436197255,3.26137418755803,20
"33","{root vegetables,whole milk,yogurt,fruit/vegetable juice} => {other vegetables}",0.00203355363497712,0.8,0.0025419420437214,4.13452443510247,20
"34","{tropical fruit,pip fruit,root vegetables,whole milk} => {other vegetables}",0.00244026436197255,0.774193548387097,0.00315200813421454,4.00115267913142,24
"35","{pip fruit,root vegetables,other vegetables,yogurt} => {whole milk}",0.00233858668022369,0.793103448275862,0.00294865277071683,3.1039285371242,23
"36","{citrus fruit,tropical fruit,root vegetables,whole milk} => {other vegetables}",0.00315200813421454,0.885714285714286,0.00355871886120996,4.57750919600631,31
"37","{citrus fruit,tropical fruit,other vegetables,yogurt} => {whole milk}",0.00244026436197255,0.774193548387097,0.00315200813421454,3.02992182586036,24
"38","{citrus fruit,root vegetables,other vegetables,yogurt} => {whole milk}",0.00233858668022369,0.821428571428571,0.00284697508896797,3.21478312773577,23
"39","{tropical fruit,root vegetables,yogurt,rolls/buns} => {whole milk}",0.00223690899847483,0.814814814814815,0.00274529740721912,3.1888992056123,22
